book_title;book_author;book_publishing;book_new_price;book_old_price;book_discount;book_status
JavaScript для глубокого обучения. TensorFlow.js;Шолле Франсуа;Питер : Библиотека программиста;2805;3596;22;На складе
Введение в язык Си++;Столяров Андрей Викторович;Нет издательства;954;1363;30;На складе
Оформление программного кода;Столяров Андрей Викторович;Нет издательства;795;1136;30;На складе
Профессиональное программирование на ассемблере x64 с расширениями AVX, AVX2 и AVX-512;Куссвюрм Даниэль;Нет издательства;2395;3421;30;На складе
Говорят, в IT много платят. Как построить успешную карьеру разработчика, оставаться востребованным;Правдина Елена Владиславовна;Бомбора : Книги-драйверы;639;819;22;На складе
Безопасность контейнеров. Фундаментальный подход к защите контейнеризированных приложений;Райс Лиз;Питер : Бестселлеры O`Reilly;1790;2295;22;На складе
Те же 10 вопросов через 20 лет. Офис и компьютер;Проскурин Сергей Павлович;Нет издательства;287;368;22;На складе
Программирование. Введение в профессию. Том 1. Азы программирования;Столяров Андрей Викторович;Нет издательства;1982;2832;30;На складе
Имитационное моделирование процессов и систем в АПК. Учебное пособие;Худякова Елена Викторовна;Колос : Учебники и учебные пособия для студентов вузов;1897;2710;30;На складе
ВОСХОД программиста;Земцов А. Н.;Деловой двор : Хочу в СССР;817;1047;22;На складе
JavaScript с нуля;Чиннатамби Кирупа;Питер : Библиотека программиста;1223;1568;22;На складе
Наглядный CSS;Сидельников Грег;Питер : Библиотека программиста;1112;1425;22;На складе
Scala. Профессиональное программирование;Одерски Мартин;Питер : Библиотека программиста;4219;5409;22;На складе
Основы разработки iOS-приложений на C# с помощью Xamarin. Учебное пособие для вузов;Умрихин Евгений Дмитриевич;Лань : Компьютеры и программное обеспечение;2190;3129;30;Ограничено
Основы разработки iOS-приложений на C# с помощью Xamarin.СПО;Умрихин Евгений Дмитриевич;Лань : Компьютеры и программное обеспечение;2087;2982;30;На складе
Программирование.Сборник задач.СПО;Батасова Валентина Сергеевна;Лань : Компьютеры и программное обеспечение;1113;1590;30;Ограничено
Математическое программирование.СПО;Ганичева Антонина Валериановна;Лань : Математика;905;1293;30;На складе
Программирование на ассемблере х64. От начального уровня до профессионального использования AVX64;Йо Ван Гуй;Нет издательства;1428;2040;30;На складе
Обработка и представление данных в MS Excel. СПО;Бурнаева Эльфия Гарифовна;Лань : Компьютеры и программное обеспечение;821;1173;30;Ограничено
Веб-дизайн для начинающих. HTML, CSS, JavaScript и веб-графика;Роббинс Дженнифер Нидерст;Нет издательства;2129;3041;30;На складе
Разработка веб-приложений на WordPress;Мессенленер Брайан;Нет издательства;1165;1664;30;На складе
ASP.NET Core 3 с примерами на C# для профессионалов;Фримен Адам;Нет издательства;4840;6914;30;На складе
PowerShell для сисадминов;Бертрам Адам;Питер : Для профессионалов;1840;2359;22;На складе
Защита данных. От авторизации до аудита;Андресс Джейсон;Питер : Для профессионалов;1223;1568;22;На складе
Создаем динамические веб-сайты на PHP;Татро Кевин;Питер : Бестселлеры O`Reilly;1840;2359;22;На складе
Теория вероятностей и математическая статистика в среде MATLAB. Учебное пособие;Алибеков Игорь Юсупович;Лань : Компьютеры и программное обеспечение;1498;2140;30;На складе
HTTP/2 в действии;Поллард Барри;Нет издательства;1856;2651;30;На складе
Методика моделирования динамики октокоптера;Щекатуров Александр Михайлович;Нет издательства;1197;1710;30;На складе
Байесовская статистика. Star Wars, LEGO, резиновые уточки и многое другое;Курт Уилл;Питер : Библиотека программиста;2210;2833;22;На складе
Python. Лучшие практики и инструменты;Яворски Михаил;Питер : Библиотека программиста;2210;2833;22;На складе
Raspberry Pi 4. Официальное руководство для начинающих;Халфакри Гарет;Нет издательства;1428;2040;30;На складе
Laravel 8. Быстрая разработка веб-сайтов на PHP;Дронов Владимир Александрович;BHV : Профессиональное программирование;1048;1497;30;На складе
Разработка Android-приложений на С# с использованием Xamarin с нуля;Умрихин Евгений Дмитриевич;BHV : С нуля;791;1130;30;На складе
Атаки на веб и WordPress;Нет автора;BHV : Библиотека журнала «Хакер»;519;741;30;На складе
Linux глазами хакера;Фленов Михаил Евгеньевич;BHV : Глазами Хакера;692;988;30;На складе
Вероятностное программирование;Колбин Вячеслав Викторович;Лань : Математика;2167;3096;30;Ограничено
C# 9.0. Карманный справочник;Албахари Джозеф;Нет издательства;1210;1728;30;На складе
Восстановление данных. Практическое руководство;Касперски Крис;Нет издательства;642;917;30;На складе
Теория автоматического управления (с использованием MATLAB - SIMULINK). Учебное пособие;Пащенко Федор Федорович;Лань : Компьютеры и программное обеспечение;2769;3955;30;На складе
Безопасность веб-приложений;Хоффман Эндрю;Питер : Бестселлеры O`Reilly;1994;2557;22;На складе;Распределенные данные. Алгоритмы работы современных систем хранения информации;Петров Алекс;Питер : Бестселлеры O`Reilly;2161;2771;22;На складе;Безопасно by Design;Берг Джонсон Дэн;Питер : Библиотека программиста;1751;2245;22;На складе;Разработка на JavaScript. Построение кроссплатформенных приложений с помощью GraphQL, React;Скотт Адам Д.;Питер : Бестселлеры O`Reilly;1901;2437;22;На складе;Пакет прикладных программ. Учебное пособие;Шитов Виктор Николаевич;ИНФРА-М : Среднее профессиональное образование;2100;3000;30;На складе;Программирование в САПР. Пространственное моделирование колонного аппарата в среде Autodesk Inventor;Лянг Виктор Федорович;ИНФРА-М : Высшее образование. Бакалавриат;1663;2376;30;На складе;Искусство тестирования на проникновение в сеть;Дэвис Ройс;Нет издательства;1322;1888;30;На складе;Построение пользовательских интерфейсов;Малышев Кирилл Викторович;Нет издательства;1189;1699;30;На складе;Data Science для карьериста;Нолис Жаклин;Питер : Библиотека программиста;1945;2494;22;На складе;Экстремальный Cи. Параллелизм, ООП и продвинутые возможности;Амини Камран;Питер : Для профессионалов;2457;3150;22;На складе;Алгоритмы обработки текста. 125 задач с решениями;Крошемор Максим;Нет издательства;1322;1888;30;На складе;Аналитика в Power BI с помощью R и Python;Уэйд Райан;Нет издательства;1718;2454;30;На складе;Программирование. Введение в профессию. Том 2. Системы и сети;Столяров Андрей Викторович;Нет издательства;1982;2832;30;На складе;Программирование. Введение в профессию. Том 3. Парадигмы;Столяров Андрей Викторович;Нет издательства;1982;2832;30;На складе;C#. Алгоритмы и структуры данных. Учебное пособие для вузов;Тюкачев Николай Аркадьевич;Лань : Компьютеры и программное обеспечение;2328;3326;30;Ограничено;Python, например;Лейси Никола;Питер : Библиотека программиста;987;1265;22;На складе;Изучаем SQL. Генерация, выборка и обработка данных;Болье Алан;Нет издательства;2240;3200;30;На складе;Знакомство с программированием на языке Processing;Риас Кейси;Нет издательства;991;1415;30;На складе;Arduino. Большая книга рецептов;Марголис Майкл;Нет издательства;1372;1960;30;На складе;Active Directory глазами хакера;Hacker Ralf;BHV : Глазами Хакера;343;490;30;На складе;Web-сервер глазами хакера;Фленов Михаил Евгеньевич;BHV : Глазами Хакера;490;700;30;На складе;JavaScript для глубокого обучения. TensorFlow.js;Шолле Франсуа;Питер : Библиотека программиста;2805;3596;22;На складе;Введение в язык Си++;Столяров Андрей Викторович;Нет издательства;954;1363;30;На складе;Оформление программного кода;Столяров Андрей Викторович;Нет издательства;795;1136;30;На складе;Профессиональное программирование на ассемблере x64 с расширениями AVX, AVX2 и AVX-512;Куссвюрм Даниэль;Нет издательства;2395;3421;30;На складе;Говорят, в IT много платят. Как построить успешную карьеру разработчика, оставаться востребованным;Правдина Елена Владиславовна;Бомбора : Книги-драйверы;639;819;22;На складе;Безопасность контейнеров. Фундаментальный подход к защите контейнеризированных приложений;Райс Лиз;Питер : Бестселлеры O`Reilly;1790;2295;22;На складе;Те же 10 вопросов через 20 лет. Офис и компьютер;Проскурин Сергей Павлович;Нет издательства;287;368;22;На складе;Программирование. Введение в профессию. Том 1. Азы программирования;Столяров Андрей Викторович;Нет издательства;1982;2832;30;На складе;Имитационное моделирование процессов и систем в АПК. Учебное пособие;Худякова Елена Викторовна;Колос : Учебники и учебные пособия для студентов вузов;1897;2710;30;На складе;ВОСХОД программиста;Земцов А. Н.;Деловой двор : Хочу в СССР;817;1047;22;На складе;JavaScript с нуля;Чиннатамби Кирупа;Питер : Библиотека программиста;1223;1568;22;На складе;Наглядный CSS;Сидельников Грег;Питер : Библиотека программиста;1112;1425;22;На складе;Scala. Профессиональное программирование;Одерски Мартин;Питер : Библиотека программиста;4219;5409;22;На складе;Основы разработки iOS-приложений на C# с помощью Xamarin. Учебное пособие для вузов;Умрихин Евгений Дмитриевич;Лань : Компьютеры и программное обеспечение;2190;3129;30;Ограничено;Основы разработки iOS-приложений на C# с помощью Xamarin.СПО;Умрихин Евгений Дмитриевич;Лань : Компьютеры и программное обеспечение;2087;2982;30;На складе;Программирование.Сборник задач.СПО;Батасова Валентина Сергеевна;Лань : Компьютеры и программное обеспечение;1113;1590;30;Ограничено;Математическое программирование.СПО;Ганичева Антонина Валериановна;Лань : Математика;905;1293;30;На складе;Программирование на ассемблере х64. От начального уровня до профессионального использования AVX64;Йо Ван Гуй;Нет издательства;1428;2040;30;На складе;Обработка и представление данных в MS Excel. СПО;Бурнаева Эльфия Гарифовна;Лань : Компьютеры и программное обеспечение;821;1173;30;Ограничено;Веб-дизайн для начинающих. HTML, CSS, JavaScript и веб-графика;Роббинс Дженнифер Нидерст;Нет издательства;2129;3041;30;На складе;Разработка веб-приложений на WordPress;Мессенленер Брайан;Нет издательства;1165;1664;30;На складе;ASP.NET Core 3 с примерами на C# для профессионалов;Фримен Адам;Нет издательства;4840;6914;30;На складе;PowerShell для сисадминов;Бертрам Адам;Питер : Для профессионалов;1840;2359;22;На складе;Защита данных. От авторизации до аудита;Андресс Джейсон;Питер : Для профессионалов;1223;1568;22;На складе;Создаем динамические веб-сайты на PHP;Татро Кевин;Питер : Бестселлеры O`Reilly;1840;2359;22;На складе;Теория вероятностей и математическая статистика в среде MATLAB. Учебное пособие;Алибеков Игорь Юсупович;Лань : Компьютеры и программное обеспечение;1498;2140;30;На складе;HTTP/2 в действии;Поллард Барри;Нет издательства;1856;2651;30;На складе;Методика моделирования динамики октокоптера;Щекатуров Александр Михайлович;Нет издательства;1197;1710;30;На складе;Байесовская статистика. Star Wars, LEGO, резиновые уточки и многое другое;Курт Уилл;Питер : Библиотека программиста;2210;2833;22;На складе;Python. Лучшие практики и инструменты;Яворски Михаил;Питер : Библиотека программиста;2210;2833;22;На складе;Raspberry Pi 4. Официальное руководство для начинающих;Халфакри Гарет;Нет издательства;1428;2040;30;На складе;Laravel 8. Быстрая разработка веб-сайтов на PHP;Дронов Владимир Александрович;BHV : Профессиональное программирование;1048;1497;30;На складе;Разработка Android-приложений на С# с использованием Xamarin с нуля;Умрихин Евгений Дмитриевич;BHV : С нуля;791;1130;30;На складе;Атаки на веб и WordPress;Нет автора;BHV : Библиотека журнала «Хакер»;519;741;30;На складе;Linux глазами хакера;Фленов Михаил Евгеньевич;BHV : Глазами Хакера;692;988;30;На складе;Вероятностное программирование;Колбин Вячеслав Викторович;Лань : Математика;2167;3096;30;Ограничено;C# 9.0. Карманный справочник;Албахари Джозеф;Нет издательства;1210;1728;30;На складе;Восстановление данных. Практическое руководство;Касперски Крис;Нет издательства;642;917;30;На складе;Теория автоматического управления (с использованием MATLAB - SIMULINK). Учебное пособие;Пащенко Федор Федорович;Лань : Компьютеры и программное обеспечение;2769;3955;30;На складе
Безопасность веб-приложений;Хоффман Эндрю;Питер : Бестселлеры O`Reilly;1994;2557;22;На складе
Распределенные данные. Алгоритмы работы современных систем хранения информации;Петров Алекс;Питер : Бестселлеры O`Reilly;2161;2771;22;На складе
Безопасно by Design;Берг Джонсон Дэн;Питер : Библиотека программиста;1751;2245;22;На складе
Разработка на JavaScript. Построение кроссплатформенных приложений с помощью GraphQL, React;Скотт Адам Д.;Питер : Бестселлеры O`Reilly;1901;2437;22;На складе
Пакет прикладных программ. Учебное пособие;Шитов Виктор Николаевич;ИНФРА-М : Среднее профессиональное образование;2100;3000;30;На складе
Программирование в САПР. Пространственное моделирование колонного аппарата в среде Autodesk Inventor;Лянг Виктор Федорович;ИНФРА-М : Высшее образование. Бакалавриат;1663;2376;30;На складе
Искусство тестирования на проникновение в сеть;Дэвис Ройс;Нет издательства;1322;1888;30;На складе
Построение пользовательских интерфейсов;Малышев Кирилл Викторович;Нет издательства;1189;1699;30;На складе
Data Science для карьериста;Нолис Жаклин;Питер : Библиотека программиста;1945;2494;22;На складе
Экстремальный Cи. Параллелизм, ООП и продвинутые возможности;Амини Камран;Питер : Для профессионалов;2457;3150;22;На складе
Алгоритмы обработки текста. 125 задач с решениями;Крошемор Максим;Нет издательства;1322;1888;30;На складе
Аналитика в Power BI с помощью R и Python;Уэйд Райан;Нет издательства;1718;2454;30;На складе
Программирование. Введение в профессию. Том 2. Системы и сети;Столяров Андрей Викторович;Нет издательства;1982;2832;30;На складе
Программирование. Введение в профессию. Том 3. Парадигмы;Столяров Андрей Викторович;Нет издательства;1982;2832;30;На складе
C#. Алгоритмы и структуры данных. Учебное пособие для вузов;Тюкачев Николай Аркадьевич;Лань : Компьютеры и программное обеспечение;2328;3326;30;Ограничено
Python, например;Лейси Никола;Питер : Библиотека программиста;987;1265;22;На складе
Изучаем SQL. Генерация, выборка и обработка данных;Болье Алан;Нет издательства;2240;3200;30;На складе
Знакомство с программированием на языке Processing;Риас Кейси;Нет издательства;991;1415;30;На складе
Arduino. Большая книга рецептов;Марголис Майкл;Нет издательства;1372;1960;30;На складе
Active Directory глазами хакера;Hacker Ralf;BHV : Глазами Хакера;343;490;30;На складе
Web-сервер глазами хакера;Фленов Михаил Евгеньевич;BHV : Глазами Хакера;490;700;30;На складе
JavaScript для глубокого обучения. TensorFlow.js;Шолле Франсуа;Питер : Библиотека программиста;2805;3596;22;На складе
Введение в язык Си++;Столяров Андрей Викторович;Нет издательства;954;1363;30;На складе
Оформление программного кода;Столяров Андрей Викторович;Нет издательства;795;1136;30;На складе
Профессиональное программирование на ассемблере x64 с расширениями AVX, AVX2 и AVX-512;Куссвюрм Даниэль;Нет издательства;2395;3421;30;На складе
Говорят, в IT много платят. Как построить успешную карьеру разработчика, оставаться востребованным;Правдина Елена Владиславовна;Бомбора : Книги-драйверы;639;819;22;На складе
Безопасность контейнеров. Фундаментальный подход к защите контейнеризированных приложений;Райс Лиз;Питер : Бестселлеры O`Reilly;1790;2295;22;На складе
Те же 10 вопросов через 20 лет. Офис и компьютер;Проскурин Сергей Павлович;Нет издательства;287;368;22;На складе
Программирование. Введение в профессию. Том 1. Азы программирования;Столяров Андрей Викторович;Нет издательства;1982;2832;30;На складе
Имитационное моделирование процессов и систем в АПК. Учебное пособие;Худякова Елена Викторовна;Колос : Учебники и учебные пособия для студентов вузов;1897;2710;30;На складе
ВОСХОД программиста;Земцов А. Н.;Деловой двор : Хочу в СССР;817;1047;22;На складе
JavaScript с нуля;Чиннатамби Кирупа;Питер : Библиотека программиста;1223;1568;22;На складе
Наглядный CSS;Сидельников Грег;Питер : Библиотека программиста;1112;1425;22;На складе
Scala. Профессиональное программирование;Одерски Мартин;Питер : Библиотека программиста;4219;5409;22;На складе
Основы разработки iOS-приложений на C# с помощью Xamarin. Учебное пособие для вузов;Умрихин Евгений Дмитриевич;Лань : Компьютеры и программное обеспечение;2190;3129;30;Ограничено
Основы разработки iOS-приложений на C# с помощью Xamarin.СПО;Умрихин Евгений Дмитриевич;Лань : Компьютеры и программное обеспечение;2087;2982;30;На складе
Программирование.Сборник задач.СПО;Батасова Валентина Сергеевна;Лань : Компьютеры и программное обеспечение;1113;1590;30;Ограничено
Математическое программирование.СПО;Ганичева Антонина Валериановна;Лань : Математика;905;1293;30;На складе
Программирование на ассемблере х64. От начального уровня до профессионального использования AVX64;Йо Ван Гуй;Нет издательства;1428;2040;30;На складе
Обработка и представление данных в MS Excel. СПО;Бурнаева Эльфия Гарифовна;Лань : Компьютеры и программное обеспечение;821;1173;30;Ограничено
Веб-дизайн для начинающих. HTML, CSS, JavaScript и веб-графика;Роббинс Дженнифер Нидерст;Нет издательства;2129;3041;30;На складе
Разработка веб-приложений на WordPress;Мессенленер Брайан;Нет издательства;1165;1664;30;На складе
ASP.NET Core 3 с примерами на C# для профессионалов;Фримен Адам;Нет издательства;4840;6914;30;На складе
PowerShell для сисадминов;Бертрам Адам;Питер : Для профессионалов;1840;2359;22;На складе
Защита данных. От авторизации до аудита;Андресс Джейсон;Питер : Для профессионалов;1223;1568;22;На складе
Создаем динамические веб-сайты на PHP;Татро Кевин;Питер : Бестселлеры O`Reilly;1840;2359;22;На складе
Теория вероятностей и математическая статистика в среде MATLAB. Учебное пособие;Алибеков Игорь Юсупович;Лань : Компьютеры и программное обеспечение;1498;2140;30;На складе
HTTP/2 в действии;Поллард Барри;Нет издательства;1856;2651;30;На складе
Методика моделирования динамики октокоптера;Щекатуров Александр Михайлович;Нет издательства;1197;1710;30;На складе
Байесовская статистика. Star Wars, LEGO, резиновые уточки и многое другое;Курт Уилл;Питер : Библиотека программиста;2210;2833;22;На складе
Python. Лучшие практики и инструменты;Яворски Михаил;Питер : Библиотека программиста;2210;2833;22;На складе
Raspberry Pi 4. Официальное руководство для начинающих;Халфакри Гарет;Нет издательства;1428;2040;30;На складе
Laravel 8. Быстрая разработка веб-сайтов на PHP;Дронов Владимир Александрович;BHV : Профессиональное программирование;1048;1497;30;На складе
Разработка Android-приложений на С# с использованием Xamarin с нуля;Умрихин Евгений Дмитриевич;BHV : С нуля;791;1130;30;На складе
Атаки на веб и WordPress;Нет автора;BHV : Библиотека журнала «Хакер»;519;741;30;На складе
Linux глазами хакера;Фленов Михаил Евгеньевич;BHV : Глазами Хакера;692;988;30;На складе
Вероятностное программирование;Колбин Вячеслав Викторович;Лань : Математика;2167;3096;30;Ограничено
C# 9.0. Карманный справочник;Албахари Джозеф;Нет издательства;1210;1728;30;На складе
Восстановление данных. Практическое руководство;Касперски Крис;Нет издательства;642;917;30;На складе
Теория автоматического управления (с использованием MATLAB - SIMULINK). Учебное пособие;Пащенко Федор Федорович;Лань : Компьютеры и программное обеспечение;2769;3955;30;На складе
Безопасность веб-приложений;Хоффман Эндрю;Питер : Бестселлеры O`Reilly;1994;2557;22;На складе;Распределенные данные. Алгоритмы работы современных систем хранения информации;Петров Алекс;Питер : Бестселлеры O`Reilly;2161;2771;22;На складе;Безопасно by Design;Берг Джонсон Дэн;Питер : Библиотека программиста;1751;2245;22;На складе;Разработка на JavaScript. Построение кроссплатформенных приложений с помощью GraphQL, React;Скотт Адам Д.;Питер : Бестселлеры O`Reilly;1901;2437;22;На складе;Пакет прикладных программ. Учебное пособие;Шитов Виктор Николаевич;ИНФРА-М : Среднее профессиональное образование;2100;3000;30;На складе;Программирование в САПР. Пространственное моделирование колонного аппарата в среде Autodesk Inventor;Лянг Виктор Федорович;ИНФРА-М : Высшее образование. Бакалавриат;1663;2376;30;На складе;Искусство тестирования на проникновение в сеть;Дэвис Ройс;Нет издательства;1322;1888;30;На складе;Построение пользовательских интерфейсов;Малышев Кирилл Викторович;Нет издательства;1189;1699;30;На складе;Data Science для карьериста;Нолис Жаклин;Питер : Библиотека программиста;1945;2494;22;На складе;Экстремальный Cи. Параллелизм, ООП и продвинутые возможности;Амини Камран;Питер : Для профессионалов;2457;3150;22;На складе;Алгоритмы обработки текста. 125 задач с решениями;Крошемор Максим;Нет издательства;1322;1888;30;На складе;Аналитика в Power BI с помощью R и Python;Уэйд Райан;Нет издательства;1718;2454;30;На складе;Программирование. Введение в профессию. Том 2. Системы и сети;Столяров Андрей Викторович;Нет издательства;1982;2832;30;На складе;Программирование. Введение в профессию. Том 3. Парадигмы;Столяров Андрей Викторович;Нет издательства;1982;2832;30;На складе;C#. Алгоритмы и структуры данных. Учебное пособие для вузов;Тюкачев Николай Аркадьевич;Лань : Компьютеры и программное обеспечение;2328;3326;30;Ограничено;Python, например;Лейси Никола;Питер : Библиотека программиста;987;1265;22;На складе;Изучаем SQL. Генерация, выборка и обработка данных;Болье Алан;Нет издательства;2240;3200;30;На складе;Знакомство с программированием на языке Processing;Риас Кейси;Нет издательства;991;1415;30;На складе;Arduino. Большая книга рецептов;Марголис Майкл;Нет издательства;1372;1960;30;На складе;Active Directory глазами хакера;Hacker Ralf;BHV : Глазами Хакера;343;490;30;На складе;Web-сервер глазами хакера;Фленов Михаил Евгеньевич;BHV : Глазами Хакера;490;700;30;На складе;JavaScript для глубокого обучения. TensorFlow.js;Шолле Франсуа;Питер : Библиотека программиста;2805;3596;22;На складе;Введение в язык Си++;Столяров Андрей Викторович;Нет издательства;954;1363;30;На складе;Оформление программного кода;Столяров Андрей Викторович;Нет издательства;795;1136;30;На складе;Профессиональное программирование на ассемблере x64 с расширениями AVX, AVX2 и AVX-512;Куссвюрм Даниэль;Нет издательства;2395;3421;30;На складе;Говорят, в IT много платят. Как построить успешную карьеру разработчика, оставаться востребованным;Правдина Елена Владиславовна;Бомбора : Книги-драйверы;639;819;22;На складе;Безопасность контейнеров. Фундаментальный подход к защите контейнеризированных приложений;Райс Лиз;Питер : Бестселлеры O`Reilly;1790;2295;22;На складе;Те же 10 вопросов через 20 лет. Офис и компьютер;Проскурин Сергей Павлович;Нет издательства;287;368;22;На складе;Программирование. Введение в профессию. Том 1. Азы программирования;Столяров Андрей Викторович;Нет издательства;1982;2832;30;На складе;Имитационное моделирование процессов и систем в АПК. Учебное пособие;Худякова Елена Викторовна;Колос : Учебники и учебные пособия для студентов вузов;1897;2710;30;На складе;ВОСХОД программиста;Земцов А. Н.;Деловой двор : Хочу в СССР;817;1047;22;На складе;JavaScript с нуля;Чиннатамби Кирупа;Питер : Библиотека программиста;1223;1568;22;На складе;Наглядный CSS;Сидельников Грег;Питер : Библиотека программиста;1112;1425;22;На складе;Scala. Профессиональное программирование;Одерски Мартин;Питер : Библиотека программиста;4219;5409;22;На складе;Основы разработки iOS-приложений на C# с помощью Xamarin. Учебное пособие для вузов;Умрихин Евгений Дмитриевич;Лань : Компьютеры и программное обеспечение;2190;3129;30;Ограничено;Основы разработки iOS-приложений на C# с помощью Xamarin.СПО;Умрихин Евгений Дмитриевич;Лань : Компьютеры и программное обеспечение;2087;2982;30;На складе;Программирование.Сборник задач.СПО;Батасова Валентина Сергеевна;Лань : Компьютеры и программное обеспечение;1113;1590;30;Ограничено;Математическое программирование.СПО;Ганичева Антонина Валериановна;Лань : Математика;905;1293;30;На складе;Программирование на ассемблере х64. От начального уровня до профессионального использования AVX64;Йо Ван Гуй;Нет издательства;1428;2040;30;На складе;Обработка и представление данных в MS Excel. СПО;Бурнаева Эльфия Гарифовна;Лань : Компьютеры и программное обеспечение;821;1173;30;Ограничено;Веб-дизайн для начинающих. HTML, CSS, JavaScript и веб-графика;Роббинс Дженнифер Нидерст;Нет издательства;2129;3041;30;На складе;Разработка веб-приложений на WordPress;Мессенленер Брайан;Нет издательства;1165;1664;30;На складе;ASP.NET Core 3 с примерами на C# для профессионалов;Фримен Адам;Нет издательства;4840;6914;30;На складе;PowerShell для сисадминов;Бертрам Адам;Питер : Для профессионалов;1840;2359;22;На складе;Защита данных. От авторизации до аудита;Андресс Джейсон;Питер : Для профессионалов;1223;1568;22;На складе;Создаем динамические веб-сайты на PHP;Татро Кевин;Питер : Бестселлеры O`Reilly;1840;2359;22;На складе;Теория вероятностей и математическая статистика в среде MATLAB. Учебное пособие;Алибеков Игорь Юсупович;Лань : Компьютеры и программное обеспечение;1498;2140;30;На складе;HTTP/2 в действии;Поллард Барри;Нет издательства;1856;2651;30;На складе;Методика моделирования динамики октокоптера;Щекатуров Александр Михайлович;Нет издательства;1197;1710;30;На складе;Байесовская статистика. Star Wars, LEGO, резиновые уточки и многое другое;Курт Уилл;Питер : Библиотека программиста;2210;2833;22;На складе;Python. Лучшие практики и инструменты;Яворски Михаил;Питер : Библиотека программиста;2210;2833;22;На складе;Raspberry Pi 4. Официальное руководство для начинающих;Халфакри Гарет;Нет издательства;1428;2040;30;На складе;Laravel 8. Быстрая разработка веб-сайтов на PHP;Дронов Владимир Александрович;BHV : Профессиональное программирование;1048;1497;30;На складе;Разработка Android-приложений на С# с использованием Xamarin с нуля;Умрихин Евгений Дмитриевич;BHV : С нуля;791;1130;30;На складе;Атаки на веб и WordPress;Нет автора;BHV : Библиотека журнала «Хакер»;519;741;30;На складе;Linux глазами хакера;Фленов Михаил Евгеньевич;BHV : Глазами Хакера;692;988;30;На складе;Вероятностное программирование;Колбин Вячеслав Викторович;Лань : Математика;2167;3096;30;Ограничено;C# 9.0. Карманный справочник;Албахари Джозеф;Нет издательства;1210;1728;30;На складе;Восстановление данных. Практическое руководство;Касперски Крис;Нет издательства;642;917;30;На складе;Теория автоматического управления (с использованием MATLAB - SIMULINK). Учебное пособие;Пащенко Федор Федорович;Лань : Компьютеры и программное обеспечение;2769;3955;30;На складе
